title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
Shadow Raiders,Animaniacs,Warner Bros Discovery,Rent/Buy,464,tv,0.8664,17,8.7,/zQXauw9aUl9h4mYQp3i1sLcQpHK.jpg,Shadow Raiders,19.521672505103304,0.0025248326541031374
ZeD,Animaniacs,Warner Bros Discovery,Rent/Buy,1353,tv,0.0429,0,0.0,,ZeD,0.0429,5.548465216425954e-06
White Collar Blue,Scooby-Doo,Warner Bros Discovery,Rent/Buy,2154,tv,2.2564,3,8.3,/qUL4yY9W9gS3FgOkVTx1Td6e71Z.jpg,White Collar Blue,19.458459991327963,0.002516657072892757
Sinchronicity,Full House,Warner Bros Discovery,Rent/Buy,260,tv,0.6721,5,4.6,/pV4ZG6lVjtx73y7dTLNiN5lT0Xi.jpg,Sinchronicity,10.650251250383644,0.0013774486855233257
Atlantika,TGIF / Perfect Strangers,Warner Bros Discovery,Rent/Buy,247,tv,0.0214,0,0.0,,Atlantika,0.0214,2.7677658655364896e-06
The Wallflower,The Fresh Prince of Bel-Air,Warner Bros Discovery,Rent/Buy,899,tv,1.8911,32,6.7,/zlcuBwbCHki0oWplNQhHhStYwFn.jpg,ヤマトナデシコ七変化♥,16.809613939877888,0.0021740689568056247
Nathan Barley,Standalone,Warner Bros Discovery,Rent/Buy,114,tv,1.6644,40,7.2,/jAd2zeYyWv89L6VRMAtPsssAZ7r.jpg,Nathan Barley,17.677183856719736,0.002286275984927176
Ricki Lake,Veronica Mars,Warner Bros Discovery,Rent/Buy,1587,tv,0.5412,7,4.1,/pBk68pgzHkmVkJ4DcwTN9P55tED.jpg,Ricki Lake,9.644289986991943,0.0012473428328659652
Garfield and Friends,Gossip Girl,Warner Bros Discovery,Peacock,4606,tv,8.455,380,7.3,/pE6l6I1ICKOu4pDUXxkl87TTLZx.jpg,Garfield and Friends,25.635924975675618,0.003315618601828474
Mighty Max,DC / Superman,Warner Bros Discovery,Rent/Buy,1708,tv,2.2639,18,6.1,/eKx1OhfVf1Z8CsI1FB1qU4R56Ti.jpg,Mighty Max,15.742653600952828,0.0020360737976487077
Lucifer,DC / Sandman,Warner Bros Discovery,Netflix,63174,tv,56.8973,15198,8.44,/ekZobS8isE6mA53RAiGDG93hBxL.jpg,Lucifer,77.95911501499947,0.010082830721773307
Chuck,Standalone,Warner Bros Discovery,Prime Video,1404,tv,17.7289,1133,7.726,/vEZvGVVMjk1TRs59nfypTI5lAXj.jpg,Chuck,36.23551305455689,0.004686514773486188
